Optional module pokerkit_wrapper was not importable: No module named 'pokerkit'
Training nfsp_iqn_mean_var_05 | seed=42 | 3,000,000 episodes
nfsp_iqn_mean_var_05:  14%|█▎        | 410782/3000000 [1:19:13<9:30:50, 75.60ep/s]
nfsp_iqn_mean_var_05:  14%|█▎        | 410938/3000000 [1:19:15<9:30:20, 75.66ep/s]
nfsp_iqn_mean_var_05:  14%|█▎        | 411094/3000000 [1:19:17<9:29:45, 75.73ep/s]
nfsp_iqn_mean_var_05:  14%|█▎        | 411250/3000000 [1:19:19<9:30:01, 75.69ep/s]
nfsp_iqn_mean_var_05:  14%|█▎        | 411405/3000000 [1:19:21<9:30:15, 75.66ep/s]
nfsp_iqn_mean_var_05:  14%|█▎        | 411560/3000000 [1:19:23<9:30:31, 75.62ep/s]
nfsp_iqn_mean_var_05:  14%|█▎        | 411715/3000000 [1:19:26<9:30:41, 75.59ep/s]
nfsp_iqn_mean_var_05:  14%|█▎        | 411870/3000000 [1:19:28<9:31:08, 75.52ep/s]
nfsp_iqn_mean_var_05:  14%|█▎        | 412024/3000000 [1:19:30<9:31:12, 75.51ep/s]
nfsp_iqn_mean_var_05:  14%|█▎        | 412178/3000000 [1:19:32<9:31:34, 75.46ep/s]
nfsp_iqn_mean_var_05:  14%|█▎        | 412332/3000000 [1:19:34<9:31:58, 75.40ep/s]
nfsp_iqn_mean_var_05:  14%|█▎        | 412486/3000000 [1:19:36<9:32:00, 75.39ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 412640/3000000 [1:19:38<9:32:16, 75.35ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 412793/3000000 [1:19:40<9:32:38, 75.30ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 412946/3000000 [1:19:42<9:32:45, 75.28ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 413099/3000000 [1:19:44<9:33:05, 75.23ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 413252/3000000 [1:19:46<9:33:08, 75.22ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 413405/3000000 [1:19:48<9:32:51, 75.25ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 413558/3000000 [1:19:50<9:33:07, 75.21ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 413711/3000000 [1:19:52<9:33:16, 75.19ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 413863/3000000 [1:19:54<9:33:22, 75.17ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 414015/3000000 [1:19:56<9:33:41, 75.13ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 414167/3000000 [1:19:58<9:34:24, 75.03ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 414319/3000000 [1:20:00<9:35:05, 74.94ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 414471/3000000 [1:20:03<9:35:26, 74.88ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 414622/3000000 [1:20:05<9:35:33, 74.87ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 414773/3000000 [1:20:07<9:36:00, 74.80ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 414924/3000000 [1:20:09<9:36:02, 74.79ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 415075/3000000 [1:20:11<9:36:12, 74.77ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 415226/3000000 [1:20:13<9:36:30, 74.72ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 415377/3000000 [1:20:15<9:37:01, 74.65ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 415528/3000000 [1:20:17<9:37:12, 74.62ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 415679/3000000 [1:20:19<9:37:04, 74.64ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 415830/3000000 [1:20:21<9:37:15, 74.61ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 415980/3000000 [1:20:23<9:37:24, 74.59ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 416130/3000000 [1:20:25<9:37:32, 74.57ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 416280/3000000 [1:20:27<9:37:48, 74.53ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 416430/3000000 [1:20:29<9:37:59, 74.50ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 416580/3000000 [1:20:31<9:38:08, 74.47ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 416730/3000000 [1:20:33<9:38:08, 74.47ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 416880/3000000 [1:20:35<9:38:18, 74.44ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 417030/3000000 [1:20:37<9:38:30, 74.41ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 417180/3000000 [1:20:39<9:38:45, 74.38ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 417330/3000000 [1:20:41<9:38:56, 74.35ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 417484/3000000 [1:20:43<9:37:55, 74.48ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 417639/3000000 [1:20:45<9:36:48, 74.62ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 417789/3000000 [1:20:47<9:37:05, 74.58ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 417939/3000000 [1:20:49<9:37:28, 74.52ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 418089/3000000 [1:20:51<9:37:49, 74.47ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 418239/3000000 [1:20:53<9:37:59, 74.45ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 418389/3000000 [1:20:55<9:38:28, 74.38ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 418539/3000000 [1:20:57<9:38:46, 74.34ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 418688/3000000 [1:20:59<9:38:55, 74.31ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 418837/3000000 [1:21:01<9:39:11, 74.27ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 418986/3000000 [1:21:03<9:39:31, 74.23ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 419197/3000000 [1:21:05<9:27:53, 75.74ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 419433/3000000 [1:21:07<9:12:50, 77.80ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 419672/3000000 [1:21:10<8:58:45, 79.82ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 419909/3000000 [1:21:12<8:46:15, 81.71ep/s]
                                                                                  
  >>> EXPLOITABILITY @ ep 420,000: 2.790359

nfsp_iqn_mean_var_05:  14%|█▍        | 419909/3000000 [1:21:13<8:46:15, 81.71ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 420073/3000000 [1:21:14<8:50:43, 81.02ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 420310/3000000 [1:21:16<8:39:05, 82.83ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 420553/3000000 [1:21:18<8:27:31, 84.71ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 420789/3000000 [1:21:20<8:18:01, 86.31ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 421024/3000000 [1:21:22<8:09:24, 87.83ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 421261/3000000 [1:21:24<8:01:10, 89.32ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 421497/3000000 [1:21:26<7:53:42, 90.72ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 421733/3000000 [1:21:28<7:46:49, 92.05ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 421970/3000000 [1:21:30<7:40:22, 93.33ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 422206/3000000 [1:21:32<7:34:31, 94.52ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 422442/3000000 [1:21:34<7:29:02, 95.67ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 422680/3000000 [1:21:36<7:23:45, 96.80ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 422916/3000000 [1:21:38<7:19:01, 97.83ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 423153/3000000 [1:21:40<7:14:31, 98.84ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 423389/3000000 [1:21:42<7:10:25, 99.77ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 423626/3000000 [1:21:44<7:06:30, 100.68ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 423864/3000000 [1:21:46<7:02:43, 101.57ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 424101/3000000 [1:21:48<6:59:17, 102.39ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 424338/3000000 [1:21:50<6:56:05, 103.17ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 424575/3000000 [1:21:52<6:53:06, 103.91ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 424810/3000000 [1:21:54<6:50:29, 104.56ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 425046/3000000 [1:21:56<6:47:55, 105.21ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 425279/3000000 [1:21:58<6:45:46, 105.75ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 425515/3000000 [1:22:00<6:43:26, 106.35ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 425752/3000000 [1:22:02<6:41:10, 106.95ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 425987/3000000 [1:22:04<6:39:11, 107.47ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 426222/3000000 [1:22:06<6:37:20, 107.96ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 426457/3000000 [1:22:08<6:35:35, 108.43ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 426691/3000000 [1:22:10<6:34:00, 108.85ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 426927/3000000 [1:22:12<6:32:23, 109.29ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 427161/3000000 [1:22:14<6:31:02, 109.66ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 427395/3000000 [1:22:16<6:29:43, 110.02ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 427636/3000000 [1:22:18<6:27:55, 110.52ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 427873/3000000 [1:22:20<6:26:33, 110.90ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 428109/3000000 [1:22:22<6:25:20, 111.24ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 428347/3000000 [1:22:24<6:24:00, 111.61ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 428586/3000000 [1:22:26<6:22:42, 111.99ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 428822/3000000 [1:22:28<6:21:39, 112.28ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 429061/3000000 [1:22:30<6:20:28, 112.62ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 429299/3000000 [1:22:32<6:19:24, 112.93ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 429530/3000000 [1:22:34<6:18:57, 113.05ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 429767/3000000 [1:22:36<6:18:04, 113.30ep/s]
                                                                                   
  >>> EXPLOITABILITY @ ep 430,000: 2.758236

nfsp_iqn_mean_var_05:  14%|█▍        | 429767/3000000 [1:22:39<6:18:04, 113.30ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 430000/3000000 [1:22:39<6:26:27, 110.84ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 430238/3000000 [1:22:41<6:25:03, 111.23ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 430475/3000000 [1:22:43<6:23:49, 111.58ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 430713/3000000 [1:22:45<6:22:35, 111.92ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 430951/3000000 [1:22:47<6:21:24, 112.26ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 431190/3000000 [1:22:49<6:20:11, 112.61ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 431430/3000000 [1:22:51<6:19:00, 112.95ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 431668/3000000 [1:22:53<6:18:00, 113.24ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 431905/3000000 [1:22:55<6:17:08, 113.49ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 432143/3000000 [1:22:57<6:16:13, 113.75ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 432379/3000000 [1:22:59<6:15:32, 113.95ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 432617/3000000 [1:23:01<6:14:43, 114.19ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 432856/3000000 [1:23:03<6:13:52, 114.44ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 433093/3000000 [1:23:05<6:13:12, 114.63ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 433332/3000000 [1:23:07<6:12:24, 114.87ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 433571/3000000 [1:23:09<6:11:37, 115.10ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 433810/3000000 [1:23:11<6:10:57, 115.29ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 434050/3000000 [1:23:13<6:10:14, 115.51ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 434290/3000000 [1:23:15<6:09:31, 115.72ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 434532/3000000 [1:23:17<6:08:40, 115.98ep/s]
nfsp_iqn_mean_var_05:  14%|█▍        | 434770/3000000 [1:23:19<6:08:10, 116.12ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 435011/3000000 [1:23:21<6:07:31, 116.32ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 435252/3000000 [1:23:23<6:06:52, 116.51ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 435491/3000000 [1:23:25<6:06:22, 116.66ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 435730/3000000 [1:23:27<6:05:58, 116.78ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 435969/3000000 [1:23:29<6:05:32, 116.90ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 436210/3000000 [1:23:31<6:04:59, 117.07ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 436458/3000000 [1:23:33<6:03:57, 117.39ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 436699/3000000 [1:23:35<6:03:28, 117.54ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 436937/3000000 [1:23:37<6:03:13, 117.61ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 437175/3000000 [1:23:39<6:02:59, 117.67ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 437415/3000000 [1:23:41<6:02:36, 117.79ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 437655/3000000 [1:23:43<6:02:15, 117.89ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 437892/3000000 [1:23:45<6:02:19, 117.85ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 438129/3000000 [1:23:47<6:02:14, 117.87ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 438366/3000000 [1:23:49<6:02:10, 117.88ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 438603/3000000 [1:23:51<6:02:04, 117.91ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 438842/3000000 [1:23:53<6:01:51, 117.96ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 439079/3000000 [1:23:55<6:01:57, 117.92ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 439316/3000000 [1:23:57<6:02:01, 117.89ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 439553/3000000 [1:23:59<6:02:03, 117.86ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 439791/3000000 [1:24:01<6:01:55, 117.90ep/s]
                                                                                   
  >>> EXPLOITABILITY @ ep 440,000: 2.698475

nfsp_iqn_mean_var_05:  15%|█▍        | 439791/3000000 [1:24:04<6:01:55, 117.90ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 440028/3000000 [1:24:04<6:10:47, 115.07ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 440263/3000000 [1:24:06<6:10:24, 115.18ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 440498/3000000 [1:24:08<6:10:03, 115.28ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 440734/3000000 [1:24:10<6:09:38, 115.39ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 440971/3000000 [1:24:12<6:09:11, 115.52ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 441205/3000000 [1:24:14<6:08:56, 115.59ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 441440/3000000 [1:24:16<6:08:38, 115.68ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 441675/3000000 [1:24:18<6:08:23, 115.75ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 441911/3000000 [1:24:20<6:08:01, 115.85ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 442147/3000000 [1:24:22<6:07:43, 115.93ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 442383/3000000 [1:24:24<6:07:24, 116.02ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 442619/3000000 [1:24:26<6:07:07, 116.10ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 442856/3000000 [1:24:28<6:06:46, 116.20ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 443091/3000000 [1:24:30<6:06:35, 116.25ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 443327/3000000 [1:24:32<6:06:17, 116.33ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 443561/3000000 [1:24:34<6:06:30, 116.25ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 443797/3000000 [1:24:36<6:06:12, 116.34ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 444031/3000000 [1:24:38<6:06:07, 116.35ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 444267/3000000 [1:24:40<6:05:54, 116.41ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 444504/3000000 [1:24:42<6:05:37, 116.49ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 444739/3000000 [1:24:44<6:05:26, 116.54ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 444975/3000000 [1:24:46<6:05:12, 116.60ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 445211/3000000 [1:24:48<6:04:59, 116.66ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 445450/3000000 [1:24:50<6:04:33, 116.79ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 445686/3000000 [1:24:52<6:04:23, 116.83ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 445923/3000000 [1:24:54<6:04:09, 116.89ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 446160/3000000 [1:24:56<6:03:54, 116.96ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 446395/3000000 [1:24:58<6:03:49, 116.98ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 446633/3000000 [1:25:00<6:03:31, 117.07ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 446870/3000000 [1:25:02<6:03:20, 117.11ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 447106/3000000 [1:25:04<6:03:13, 117.14ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 447341/3000000 [1:25:06<6:03:27, 117.05ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 447582/3000000 [1:25:08<6:02:56, 117.21ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 447820/3000000 [1:25:10<6:02:41, 117.28ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 448059/3000000 [1:25:12<6:02:23, 117.37ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 448298/3000000 [1:25:14<6:02:04, 117.45ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 448535/3000000 [1:25:16<6:01:56, 117.49ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 448773/3000000 [1:25:18<6:01:41, 117.56ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 449011/3000000 [1:25:20<6:01:29, 117.61ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 449251/3000000 [1:25:22<6:01:09, 117.71ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 449490/3000000 [1:25:24<6:00:55, 117.78ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 449728/3000000 [1:25:26<6:00:46, 117.81ep/s]
nfsp_iqn_mean_var_05:  15%|█▍        | 449965/3000000 [1:25:28<6:00:38, 117.85ep/s]
                                                                                   
[Ep   450,000/3,000,000] avg_reward= -0.506 | exploit=  2.6985 | br_loss= 0.5071 | avg_pol= 0.5293 | eps/s=   97.9 |  85.5m

nfsp_iqn_mean_var_05:  15%|█▍        | 449965/3000000 [1:25:29<6:00:38, 117.85ep/s]
                                                                                   
  >>> EXPLOITABILITY @ ep 450,000: 2.670578

nfsp_iqn_mean_var_05:  15%|█▍        | 449965/3000000 [1:25:30<6:00:38, 117.85ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 450201/3000000 [1:25:31<6:09:10, 115.11ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 450439/3000000 [1:25:33<6:08:33, 115.29ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 450676/3000000 [1:25:35<6:08:06, 115.43ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 450918/3000000 [1:25:37<6:07:14, 115.69ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 451158/3000000 [1:25:39<6:06:33, 115.89ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 451396/3000000 [1:25:41<6:06:05, 116.03ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 451635/3000000 [1:25:43<6:05:31, 116.20ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 451873/3000000 [1:25:45<6:05:05, 116.32ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 452111/3000000 [1:25:47<6:04:40, 116.45ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 452354/3000000 [1:25:49<6:03:53, 116.68ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 452597/3000000 [1:25:51<6:03:08, 116.91ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 452835/3000000 [1:25:53<6:02:49, 117.01ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 453072/3000000 [1:25:55<6:02:35, 117.07ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 453308/3000000 [1:25:57<6:02:27, 117.10ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 453544/3000000 [1:25:59<6:02:19, 117.14ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 453782/3000000 [1:26:01<6:02:00, 117.23ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 454019/3000000 [1:26:04<6:01:47, 117.28ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 454255/3000000 [1:26:06<6:01:44, 117.29ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 454491/3000000 [1:26:08<6:01:42, 117.29ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 454728/3000000 [1:26:10<6:01:33, 117.33ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 454965/3000000 [1:26:12<6:01:22, 117.38ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 455204/3000000 [1:26:14<6:01:01, 117.48ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 455441/3000000 [1:26:16<6:00:53, 117.51ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 455679/3000000 [1:26:18<6:00:40, 117.57ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 455918/3000000 [1:26:20<6:00:21, 117.66ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 456157/3000000 [1:26:22<6:00:06, 117.74ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 456396/3000000 [1:26:24<5:59:51, 117.81ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 456633/3000000 [1:26:26<5:59:46, 117.82ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 456872/3000000 [1:26:28<5:59:30, 117.90ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 457112/3000000 [1:26:30<5:59:12, 117.98ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 457353/3000000 [1:26:32<5:58:50, 118.09ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 457594/3000000 [1:26:34<5:58:27, 118.21ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 457832/3000000 [1:26:36<5:58:23, 118.22ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 458070/3000000 [1:26:38<5:58:15, 118.25ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 458307/3000000 [1:26:40<5:58:12, 118.26ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 458546/3000000 [1:26:42<5:58:02, 118.30ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 458787/3000000 [1:26:44<5:57:43, 118.40ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 459025/3000000 [1:26:46<5:57:53, 118.33ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 459265/3000000 [1:26:48<5:57:40, 118.39ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 459506/3000000 [1:26:50<5:57:21, 118.49ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 459747/3000000 [1:26:52<5:57:02, 118.58ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 459987/3000000 [1:26:54<5:56:52, 118.62ep/s]
                                                                                   
  >>> EXPLOITABILITY @ ep 460,000: 2.591408

nfsp_iqn_mean_var_05:  15%|█▌        | 459987/3000000 [1:26:55<5:56:52, 118.62ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 460225/3000000 [1:26:57<6:05:33, 115.79ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 460462/3000000 [1:26:59<6:05:11, 115.90ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 460700/3000000 [1:27:01<6:04:41, 116.05ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 460938/3000000 [1:27:03<6:04:13, 116.19ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 461178/3000000 [1:27:05<6:03:38, 116.36ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 461414/3000000 [1:27:07<6:03:23, 116.43ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 461652/3000000 [1:27:09<6:03:01, 116.53ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 461890/3000000 [1:27:11<6:02:39, 116.64ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 462129/3000000 [1:27:13<6:02:16, 116.76ep/s]
nfsp_iqn_mean_var_05:  15%|█▌        | 462368/3000000 [1:27:15<6:01:51, 116.88ep/s]
